Year,GrandPrix,Driver,FP1_best,FP1_mean,FP1_std,FP2_best,FP2_mean,FP2_std,FP3_best,FP3_mean,FP3_std,track_evolution,AirTemp,TrackTemp,Humidity,Rainfall,Team,quali_best,Driver_enc,Team_enc,GrandPrix_enc
2023,Australian Grand Prix,SAI,79.505,81.397875,1.5639140858298908,79.695,80.03649999999999,0.4829539315504169,78.127,79.4165,1.6899271877805877,1.3780000000000001,15.20421052631579,22.71263157894737,53.4,1,Ferrari,77.27,16,4,0
2023,Australian Grand Prix,SAR,80.074,81.42299999999999,1.2739764519016823,,,,78.947,79.337,0.5484774380045201,1.1269999999999953,15.20421052631579,22.71263157894737,53.4,1,Williams,78.557,17,9,0
2023,Australian Grand Prix,STR,79.766,82.61585714285715,1.765482410803671,80.579,81.48566666666666,1.0413401621628475,78.198,80.11124999999998,2.0866570496507424,1.568000000000012,15.20421052631579,22.71263157894737,53.4,1,Aston Martin,77.308,18,3,0
2023,Australian Grand Prix,TSU,80.399,82.12519999999999,1.7525563329034506,80.22,81.80825,1.3115338030972226,78.901,80.078125,0.811322982629519,1.4980000000000047,15.20421052631579,22.71263157894737,53.39999999999999,1,AlphaTauri,78.099,19,1,0
2023,Australian Grand Prix,VER,78.79,79.668,1.0967673712627801,79.502,79.6305,0.18172644276494626,77.565,79.91883333333332,2.429629635698962,1.2250000000000085,15.20421052631579,22.71263157894737,53.4,1,Red Bull Racing,76.732,20,8,0
2023,Australian Grand Prix,ZHO,80.569,81.8826,1.2916767397456648,80.47,81.25233333333333,0.8169616474066146,78.33,80.20083333333334,1.1936246339057626,2.2390000000000043,15.20421052631579,22.71263157894737,53.4,1,Alfa Romeo,78.54,21,0,0
2023,Austrian Grand Prix,ALB,66.794,68.1978,1.7023882342168635,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,Williams,65.34,0,9,1
2023,Austrian Grand Prix,ALO,66.656,68.98716666666667,1.4078695596431154,,,,,,,,26.70000000000001,39.60941176470588,41.576470588235296,0,Aston Martin,64.911,1,3,1
2023,Austrian Grand Prix,BOT,66.847,67.89742857142856,1.1398346162408635,,,,,,,,26.70000000000001,39.60941176470588,41.576470588235296,0,Alfa Romeo,65.513,2,0,1
2023,Austrian Grand Prix,DEV,67.017,68.04388888888889,0.9516310267698912,,,,,,,,26.700000000000006,39.60941176470588,41.576470588235296,0,AlphaTauri,65.974,3,1,1
2023,Austrian Grand Prix,GAS,67.287,68.2801,0.869208893189662,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,Alpine,65.084,4,2,1
2023,Austrian Grand Prix,HAM,66.251,68.20855555555555,1.60645410073795,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,Mercedes,64.819,5,7,1
2023,Austrian Grand Prix,HUL,66.846,68.67474999999999,1.2022271891309508,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,Haas F1 Team,65.09,6,5,1
2023,Austrian Grand Prix,LEC,66.012,68.22133333333333,1.1586527704296221,,,,,,,,26.70000000000001,39.60941176470588,41.576470588235296,0,Ferrari,64.439,8,4,1
2023,Austrian Grand Prix,MAG,66.497,68.64349999999999,1.465324025599799,,,,,,,,26.700000000000006,39.60941176470588,41.576470588235296,0,Haas F1 Team,65.793,9,5,1
2023,Austrian Grand Prix,NOR,67.368,68.79785714285714,0.7488503251810817,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,McLaren,64.658,10,6,1
2023,Austrian Grand Prix,OCO,67.202,68.70363636363638,1.2587161135639178,,,,,,,,26.70000000000001,39.60941176470588,41.576470588235296,0,Alpine,65.295,11,2,1
2023,Austrian Grand Prix,PER,66.262,67.00333333333333,0.5045705764971495,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,Red Bull Racing,64.99,12,8,1
2023,Austrian Grand Prix,PIA,66.809,68.56294444444444,1.1065011348561313,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,McLaren,65.213,13,6,1
2023,Austrian Grand Prix,RUS,66.696,68.96946666666666,1.11215761130379,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,Mercedes,65.408,15,7,1
2023,Austrian Grand Prix,SAI,65.983,68.51541666666667,0.9488181604054322,,,,,,,,26.70000000000001,39.60941176470588,41.576470588235296,0,Ferrari,64.581,16,4,1
2023,Austrian Grand Prix,SAR,67.018,68.67566666666669,1.2182158538890677,,,,,,,,26.700000000000006,39.60941176470588,41.576470588235296,0,Williams,65.948,17,9,1
2023,Austrian Grand Prix,STR,66.34,67.79281818181818,1.162386236857768,,,,,,,,26.70000000000001,39.60941176470588,41.576470588235296,0,Aston Martin,64.893,18,3,1
2023,Austrian Grand Prix,TSU,66.985,67.71166666666667,0.7672810871295269,,,,,,,,26.700000000000006,39.60941176470588,41.576470588235296,0,AlphaTauri,65.784,19,1,1
2023,Austrian Grand Prix,VER,65.742,66.77066666666667,0.8351099727979904,,,,,,,,26.700000000000014,39.60941176470589,41.57647058823529,0,Red Bull Racing,64.391,20,8,1
2023,Austrian Grand Prix,ZHO,66.78,67.55242857142856,0.7679721907167516,,,,,,,,26.700000000000006,39.60941176470588,41.576470588235296,0,Alfa Romeo,65.818,21,0,1
2023,Azerbaijan Grand Prix,ALB,103.628,105.66409090909089,1.3575022986754337,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Williams,101.818,0,9,2
2023,Azerbaijan Grand Prix,ALO,103.56,105.72928571428572,1.4333912834353972,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Aston Martin,101.253,1,3,2
2023,Azerbaijan Grand Prix,BOT,104.01,106.77487500000001,2.1131688079077553,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Alfa Romeo,102.259,2,0,2
2023,Azerbaijan Grand Prix,GAS,106.321,107.25233333333334,0.9836184897272627,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Alpine,104.853,4,2,2
2023,Azerbaijan Grand Prix,HAM,103.798,106.3921,1.4156681539902713,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Mercedes,101.177,5,7,2
2023,Azerbaijan Grand Prix,HUL,104.323,106.62942857142858,1.8150839151531328,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Haas F1 Team,102.755,6,5,2
2023,Azerbaijan Grand Prix,LEC,102.352,105.27766666666668,2.046627836222305,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Ferrari,100.203,8,4,2
2023,Azerbaijan Grand Prix,MAG,107.498,108.44900000000001,1.3449170978168141,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Haas F1 Team,103.417,9,5,2
2023,Azerbaijan Grand Prix,NOR,103.125,106.33800000000001,1.7527835006069639,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,McLaren,101.281,10,6,2
2023,Azerbaijan Grand Prix,OCO,105.955,107.51566666666666,1.5054332709666478,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Alpine,101.798,11,2,2
2023,Azerbaijan Grand Prix,PER,102.454,105.77720000000002,2.681737073863383,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Red Bull Racing,100.495,12,8,2
2023,Azerbaijan Grand Prix,PIA,103.98,106.6901,1.8428060397122634,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,McLaren,101.611,13,6,2
2023,Azerbaijan Grand Prix,RUS,105.082,107.908875,1.39496230747849,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Mercedes,101.654,15,7,2
2023,Azerbaijan Grand Prix,SAI,102.899,105.298375,2.0061190633730024,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Ferrari,101.016,16,4,2
2023,Azerbaijan Grand Prix,SAR,104.9,106.99571428571427,1.0691675444453186,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Williams,102.242,17,9,2
2023,Azerbaijan Grand Prix,STR,103.455,106.275,2.1128438519817676,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Aston Martin,101.576,18,3,2
2023,Azerbaijan Grand Prix,TSU,104.137,105.85916666666667,1.8914787248781457,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,AlphaTauri,101.569,19,1,2
2023,Azerbaijan Grand Prix,VER,102.315,105.6662,2.4860961722704484,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Red Bull Racing,100.391,20,8,2
2023,Azerbaijan Grand Prix,ZHO,103.748,106.84611111111111,2.033666851062656,,,,,,,,19.461320754716983,33.08584905660377,80.62264150943396,0,Alfa Romeo,102.642,21,0,2
2023,Bahrain Grand Prix,ALB,96.018,96.7722,0.6880241274839141,92.44,92.86833333333334,0.3977365124467874,93.882,94.09899999999999,0.2648962060883457,2.1359999999999957,23.879999999999995,28.08526315789472,21.652631578947368,0,Williams,91.461,0,9,3
2023,Bahrain Grand Prix,ALO,93.196,95.46525,1.3858903017812896,90.907,94.47550000000001,2.4283219955940183,92.34,92.70533333333333,0.3929253533857672,0.8559999999999945,23.879999999999995,28.08526315789472,21.652631578947368,0,Aston Martin,90.336,1,3,3
2023,Bahrain Grand Prix,BOT,94.689,96.792,1.631610554023235,91.793,93.28999999999999,1.0187745089076359,93.629,93.95266666666667,0.36998963949457986,1.059999999999988,23.879999999999995,28.08526315789472,21.652631578947368,0,Alfa Romeo,91.443,2,0,3
2023,Bahrain Grand Prix,DEV,95.402,97.161,1.4465305043447902,92.605,93.73880000000001,0.9111877962308319,94.082,94.7432,0.5111347180538638,1.3200000000000074,23.879999999999995,28.08526315789472,21.652631578947368,0,AlphaTauri,92.121,3,1,3
2023,Bahrain Grand Prix,GAS,95.455,96.09777777777778,0.3651642704926715,91.475,92.16233333333332,0.611035459963936,93.064,93.69433333333332,0.551935080723571,2.3910000000000053,23.879999999999995,28.08526315789472,21.652631578947368,0,Alpine,91.818,4,2,3
2023,Bahrain Grand Prix,HAM,94.917,95.13925,0.23795150066067564,91.543,93.151,2.181728214054171,92.555,94.59314285714287,1.7759094786025749,2.3619999999999948,23.879999999999995,28.08526315789472,21.652631578947368,0,Mercedes,90.384,5,7,3
2023,Bahrain Grand Prix,HUL,95.043,98.13586666666669,1.155662572272884,91.376,93.19633333333333,1.5789934557601304,93.423,95.01975,1.4385871251567186,1.6200000000000045,23.879999999999995,28.08526315789472,21.652631578947368,0,Haas F1 Team,90.809,6,5,3
2023,Bahrain Grand Prix,LEC,94.257,96.6694,1.8168935852162582,91.367,91.94900000000001,0.6416011221935303,92.624,93.46125,0.6076552613667292,1.6330000000000098,23.879999999999995,28.08526315789472,21.652631578947368,0,Ferrari,90.0,8,4,3
